source_id	release_status	record_count	evidence_class	has_jbrowse	source_annotations_status	redistribution_status	record_root
BATTER_S1_001	published_standardized	607	curated_record	true	withheld_external_link_only	external_link_only	data/public/v0.2.0/records/BATTER_S1_001
BATTER_S1_002	audit_only	0	NA	false	not_emitted_audit_only	audit_only	data/public/v0.2.0/records/BATTER_S1_002
BATTER_S1_003	published_standardized	1414	curated_record	true	withheld_external_link_only	external_link_only	data/public/v0.2.0/records/BATTER_S1_003
BATTER_S1_004	published_standardized	337	curated_record	true	withheld_external_link_only	external_link_only	data/public/v0.2.0/records/BATTER_S1_004
BATTER_S1_005	published_standardized	1154	curated_record	true	withheld_external_link_only	external_link_only	data/public/v0.2.0/records/BATTER_S1_005
BATTER_S1_006	published_standardized	1864	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_006
BATTER_S1_007	published_standardized	1640	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_007
BATTER_S1_008	published_standardized	1965	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_008
BATTER_S1_009	published_standardized	2091	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_009
BATTER_S1_010	published_standardized	1159	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_010
BATTER_S1_011	published_standardized	2024	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_011
BATTER_S1_012	published_standardized	1308	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_012
BATTER_S1_013	published_standardized	1208	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_013
BATTER_S1_014	published_standardized	1283	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_014
BATTER_S1_015	published_standardized	1140	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_015
BATTER_S1_016	published_standardized	870	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_016
BATTER_S1_017	published_standardized	1427	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_017
BATTER_S1_018	published_standardized	487	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_018
BATTER_S1_019	published_standardized	784	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_019
BATTER_S1_020	published_standardized	1165	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_020
BATTER_S1_021	published_standardized	1905	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_021
BATTER_S1_022	published_standardized	2567	author_called_endpoint	true	published	verified_redistributable	data/public/v0.2.0/records/BATTER_S1_022
