end_id	source_record_id	source_end_id	author_tts_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	score	tts_class	locus	gene	convergent	webgester	rnie	transtermhp	rhotermpredict_100nt	rhotermpredict_150nt	prediction_support	prediction_support_count	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_121_r000002	TTS1	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000001	TTS1	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	121	120	121	+	13.54870208	I	Rv0001	dnaA	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_140_r000003	TTS2	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000002	TTS2	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	140	139	140	-	5.932719381	A	Rv0001	dnaA	Found	.	.	.	.	.	Convergent	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_1009_r000004	TTS3	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000003	TTS3	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	1009	1008	1009	-	5.375036415	A	Rv0001	dnaA	Found	.	.	.	Found	Found	Convergent;RhoTermPredict (100nt);RhoTermPredict (150nt)	3	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_3509_r000005	TTS4	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000004	TTS4	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	3509	3508	3509	+	5.019998565	I	Rv0003	recF	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_5629_r000006	TTS5	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000005	TTS5	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	5629	5628	5629	+	9.262219302	I	Rv0005	gyrB	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_7419_r000007	TTS6	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000006	TTS6	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	7419	7418	7419	+	11.76985746	I	Rv0006	gyrA	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_7539_r000008	TTS7	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000007	TTS7	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	7539	7538	7539	+	7.333989036	I	Rv0006	gyrA	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_7839_r000009	TTS8	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000008	TTS8	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	7839	7838	7839	+	9.774041024	I	Rv0006	gyrA	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_8092_r000010	TTS9	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000009	TTS9	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	8092	8091	8092	-	5.575780536	A	Rv0006	gyrA	Found	.	.	.	.	.	Convergent	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_8231_r000011	TTS10	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000010	TTS10	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	8231	8230	8231	+	5.179302267	I	Rv0006	gyrA	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
