end_id	source_record_id	source_end_id	author_tep_id	source_id	species	sample_id	assay	evidence_class	replicon_label	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	abundance	category	associated_gene	folding_free_energy_kcal_mol	average_readthrough_fraction	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_324_r000002	TEP-0001	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000001	TEP-0001	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	324	323	324	-	-5.357070719	P	CRV15_00010	-23.92	0.13098191994726655	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_12796_r000003	TEP-0002	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000002	TEP-0002	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	12796	12795	12796	-	-3.730631516	P	CRV15_00060	-16.63	0.10195991839150809	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_13482_r000004	TEP-0003	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000003	TEP-0003	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	13482	13481	13482	-	-1.573903128	P	CRV15_00065	-17.07	1.5143628475467275	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_13489_r000005	TEP-0004	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000004	TEP-0004	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	13489	13488	13489	+	3.324021715	N	N	-25.82	0.3808719775357793	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_25027_r000006	TEP-0005	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000005	TEP-0005	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	25027	25026	25027	-	-2.227871694	P	CRV15_00120	-12.89	0.285150649333363	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_38398_r000007	TEP-0006	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000006	TEP-0006	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	38398	38397	38398	-	-3.518844404	S	CRV15_00180	-11.08	0.6179163305474555	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_38476_r000008	TEP-0007	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000007	TEP-0007	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	38476	38475	38476	-	-5.16389084	P	CRV15_00180	-12.88	1.6021057701095303	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_53458_r000009	TEP-0008	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000008	TEP-0008	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	53458	53457	53458	+	3.093627372	P	CRV15_00225	-33.8	0.023260650518590623	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_63778_r000010	TEP-0009	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000009	TEP-0009	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	63778	63777	63778	+	1.680618089	P	CRV15_00275	-30.68	0.10355966815185468	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_93378_r000011	TEP-0010	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000010	TEP-0010	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	93378	93377	93378	-	-20.50341989	Pre	CRV15_00395	-30.12	0.4283262946088143	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
