PMID,Species,Journal_Year,Database,Accession_Number,Data_Type,Notes
29606352,"Escherichia coli MG1655, Bacillus subtilis 168, Vibrio natriegens, Caulobacter vibrioides NA1000",Cell 2018,GEO,GSE95211,"Rend-seq, ribosome profiling (21 samples)",GEO SuperSeries covering all 4 species; 18 Rend-seq + 3 ribosome profiling
29606352,"Escherichia coli MG1655, Bacillus subtilis 168, Vibrio natriegens, Caulobacter vibrioides NA1000",Cell 2018,GitHub,https://github.com/jblalanne/Rend_seq_core_scripts,Core analysis scripts,
29606352,"Escherichia coli MG1655, Bacillus subtilis 168, Vibrio natriegens, Caulobacter vibrioides NA1000",Cell 2018,Mendeley,10.17632/ncm3s3pk2t.1,Supplementary validation data,
30517198,Streptococcus pneumoniae TIGR4,PLoS Pathog 2018,SRA,SRP136114,"RNA-seq, term-seq, 5' end-seq",
31555254,Streptomyces lividans TK24,Front Microbiol 2019,ENA,PRJEB31507,"dRNA-seq, Term-seq, RNA-seq, Ribo-Seq",原文存在重复笔误; 推测第一个应为dRNA-seq
31594819,Pseudomonas aeruginosa PAO1,mBio 2019,ENA,PRJEB31965,"RNA-seq, term-seq",与PMID 37402717复用的数据一致
32694125,Zymomonas mobilis ZM4,mSystems 2020,GEO,GSE139939,"RNA-seq, TSS-seq, term-seq, ribo-seq","GEO SuperSeries: RNA-seq, TSS-seq, term-seq, ribo-seq 多组学数据"
32694125,Zymomonas mobilis ZM4,mSystems 2020,PRIDE,PXD016962,Proteomics,
32694125,Zymomonas mobilis ZM4,mSystems 2020,GitHub,https://github.com/jmvera255/Vera_2020_mSystems,Analysis code,
33319794,Streptomyces avermitilis,Sci Data 2020,SRA,SRP158023,"dRNA-seq, Term-seq, RNA-seq",Three data types share one accession
33319794,Streptomyces clavuligerus,Sci Data 2020,SRA,SRP188290,"dRNA-seq, RNA-seq",
33319794,Streptomyces clavuligerus,Sci Data 2020,SRA,SRX6937123,Term-seq,Independent accession for term-seq
33319794,Streptomyces clavuligerus,Sci Data 2020,SRA,SRX6937124,Term-seq,Independent accession for term-seq
33319794,Streptomyces tsukubaensis,Sci Data 2020,SRA,SRP103795,"dRNA-seq, RNA-seq",
33319794,Streptomyces tsukubaensis,Sci Data 2020,ENA,PRJEB36379,Term-seq,Shared with S. venezuelae
33319794,Streptomyces coelicolor,Sci Data 2020,ENA,PRJEB40918,Term-seq,Shared with S. griseus
33319794,Streptomyces coelicolor,Sci Data 2020,SRA,SRP058830,RNA-seq,
33319794,Streptomyces griseus,Sci Data 2020,ENA,PRJEB40918,"dRNA-seq, Term-seq, RNA-seq",All data types share one accession
33319794,Streptomyces lividans,Sci Data 2020,ENA,PRJEB31507,"dRNA-seq, Term-seq, RNA-seq",All data types share one accession
33319794,Streptomyces venezuelae,Sci Data 2020,ENA,PRJEB36379,"dRNA-seq, Term-seq",
33319794,Streptomyces venezuelae,Sci Data 2020,ENA,PRJEB34219,RNA-seq,
