Species,chromosome,POT,strand,n_candidates,kept_row_index,kept_termite_id,kept_termite_score,kept_transtermhp_conf,kept_rnafold,kept_rnafold_energy,discarded_termite_id,discarded_termite_score,discarded_transtermhp_conf,discarded_rnafold,discarded_rnafold_energy
Streptomyces avermitilis,NC_003155.5,1218515,+,2,21,WT_3prime_signal_forward_156,1000,,+,-9.699999809265137,WT_3prime_signal_forward_156,1000,,+,-9.699999809265137
Streptomyces avermitilis,NC_003155.5,1630695,-,2,36,WT_3prime_signal_reverse_286,1000,100.0,+,-29.100000381469727,WT_3prime_signal_reverse_286,1000,100.0,+,-29.100000381469727
Streptomyces avermitilis,NC_003155.5,2753235,-,2,79,WT_3prime_signal_reverse_784,1000,,+,-32.400001525878906,WT_3prime_signal_reverse_784,1000,,+,-32.400001525878906
Streptomyces avermitilis,NC_003155.5,3208032,-,2,117,WT_3prime_signal_reverse_1219,1000,,+,-40.900001525878906,WT_3prime_signal_reverse_1219,1000,100.0,+,-40.900001525878906
Streptomyces avermitilis,NC_003155.5,3305792,+,2,138,WT_3prime_signal_forward_869,1000,,+,-36.0,WT_3prime_signal_forward_869,1000,,+,-36.0
Streptomyces avermitilis,NC_003155.5,3656033,+,2,177,WT_3prime_signal_forward_1032,1000,100.0,-,,WT_3prime_signal_forward_1032,1000,100.0,-,
Streptomyces avermitilis,NC_003155.5,3744592,+,2,189,WT_3prime_signal_forward_1105,1000,,+,-9.100000381469728,WT_3prime_signal_forward_1105,1000,,+,-9.100000381469728
Streptomyces avermitilis,NC_003155.5,3824917,+,2,203,WT_3prime_signal_forward_1244,1000,,+,-35.29999923706055,WT_3prime_signal_forward_1244,1000,100.0,+,-35.29999923706055
Streptomyces avermitilis,NC_003155.5,3926657,+,2,216,WT_3prime_signal_forward_1312,1000,,+,-32.400001525878906,WT_3prime_signal_forward_1312,1000,,+,-32.400001525878906
Streptomyces avermitilis,NC_003155.5,4020587,+,2,225,WT_3prime_signal_forward_1404,1000,,+,-34.79999923706055,WT_3prime_signal_forward_1404,1000,,+,-34.79999923706055
Streptomyces avermitilis,NC_003155.5,5103031,+,2,322,WT_3prime_signal_forward_2047,1000,,+,-36.29999923706055,WT_3prime_signal_forward_2047,1000,,+,-36.29999923706055
