source_id	published_year	species	phylum	reference_genome	pmid	paper_title	doi	pmc	raw_data_accessions	assay_family	used_for_batter_augmentation	accessibility_status	coordinate_status	processing_status	blocker_or_note
BATTER_S1_001	2018	Escherichia coli str. K-12 substr. MG1655	Proteobacteria	GCF_000005845.1	29606352	Evolutionary Convergence of Pathway-Specific Enzyme Expression Stoichiometry	10.1016/j.cell.2018.03.007	PMC5978003	GSE95211	Rend-seq	TRUE	accessible	verified	curated	E. coli pilot: published in local browser.
BATTER_S1_002	2018	Escherichia coli str. K-12 substr. MG1655	Proteobacteria	GCF_000005845.2	38030608	TRS: a method for determining transcript termini from RNAtag-seq sequencing data	10.1038/s41467-023-43534-2	PMC10687069	E-MTAB-12429	RNAtag-seq / TRS	FALSE	accessible	verified	curated	Author Supplementary Data 3 Summary imported as author-integrated TRS 3-prime termini; Dominant coordinate treated as 1-based.
BATTER_S1_003	2018	Bacillus subtilis subsp. subtilis str. 168	Firmicutes	GCF_000009045.1	29606352	Evolutionary Convergence of Pathway-Specific Enzyme Expression Stoichiometry	10.1016/j.cell.2018.03.007	PMC5978003	GSE95211	Rend-seq	TRUE	accessible	verified	curated	B. subtilis pilot: manual review 2026-08-06 re-derived the candidate set from raw WIG and re-verified checksums; candidates remain signal peaks, not terminator calls.
BATTER_S1_004	2018	Caulobacter vibrioides NA1000	Proteobacteria	GCF_000022005.1	29606352	Evolutionary Convergence of Pathway-Specific Enzyme Expression Stoichiometry	10.1016/j.cell.2018.03.007	PMC5978003	GSE95211	Rend-seq	TRUE	accessible	verified_with_metadata_conflict	curated	C. vibrioides pilot: CP001340.1 authority; GEO copied NC_000913.2 line retained as issue.
BATTER_S1_005	2018	Vibrio natriegens NBRC 15636	Proteobacteria	GCF_001456255.1	29606352	Evolutionary Convergence of Pathway-Specific Enzyme Expression Stoichiometry	10.1016/j.cell.2018.03.007	PMC5978003	GSE95211	Rend-seq	TRUE	accessible	verified	curated	V. natriegens two-contig Rend-seq processed with CP009977.1 and CP009978.1; manual review pending.
BATTER_S1_006	2018	Streptococcus pneumoniae TIGR4	Firmicutes	GCF_000006885.1	30517198	The Transcriptional landscape of Streptococcus pneumoniae TIGR4	10.1371/journal.ppat.1007461	PMC6296669	SRP136114	RNA-seq / 3′ end mapping	TRUE	accessible	verified	curated	Warrier 2018 Supplementary Table S2 imported: 1,864 author-called Term-seq TTSs on NC_003028.3, called at coverage >=10 and >=2-fold enrichment over background.
BATTER_S1_007	2019	Streptomyces lividans TK24	Actinobacteria	GCF_000739105.1	31555254	The Transcription Unit Architecture of Streptomyces lividans TK24	10.3389/fmicb.2019.02074	PMC6742748	PRJEB31507	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Lee 2019 Supplementary Dataset 3 imported independently: 1,640 author-called Term-seq TEPs on CP009124.1; termination and RNA processing are not distinguished.
BATTER_S1_008	2019	Pseudomonas aeruginosa PAO1	Proteobacteria	GCF_000006765.1	31594819	A rhlI 5' UTR-Derived sRNA Regulates RhlR-Dependent Quorum Sensing	10.1128/mBio.02253-19	PMC6786874	PRJEB31965	RNA-seq / Term-seq-related	TRUE	accessible	verified_with_count_conflict	curated	Table S1B imported as 1,965 reproducible Term-seq 3-prime sites; Table S1A retained separately as 805 gene-associated TTS rows although the article text reports 804.
BATTER_S1_009	2020	Zymomonas mobilis subsp. mobilis ZM4	Proteobacteria	GCF_003054575.1	32694125	Genome-Scale Transcription-Translation Mapping of Zymomonas mobilis	10.1128/mSystems.00250-20	PMC7566282	GSE139939	Term-seq / SMRT-Cappable-seq	TRUE	accessible	verified_with_count_conflict	curated	Data Set S3 imported as 2,091 processing-filtered Term-seq TTSs across chromosome and four plasmids. Pure TransTermHP predictions remain excluded; article reports 617 predicted matches whereas TTS_list marks 616.
BATTER_S1_010	2020	Streptomyces avermitilis MA-4680	Actinobacteria	GCF_000009765.2	33319794	Genome-scale determination of 5′ and 3′ boundaries in Streptomyces genomes	10.1038/s41597-020-00775-w	PMC7738537	SRP158023	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Lee 2020 Figshare Dataset 2 imported as author-called Term-seq TTS; BA000030.4 sequence is identical to RefSeq NC_003155.5.
