end_id	source_record_id	source_end_id	source_id	species	sample_id	assay	evidence_class	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	intensity	category	associated_gene	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_67368_r000002	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000001	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000001	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	67368	67367	67368	-	-1.372769946	P	SLIV_00320	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_69102_r000003	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000002	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000002	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	69102	69101	69102	-	-0.440192717	N	-	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_80859_r000004	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000003	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000003	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	80859	80858	80859	-	-1.753387511	P	SLIV_00400	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_92916_r000005	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000004	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000004	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	92916	92915	92916	+	1.179277773	P	SLIV_00465	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_93437_r000006	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000005	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000005	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	93437	93436	93437	+	0.380617565	N	-	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_93741_r000007	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000006	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000006	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	93741	93740	93741	+	0.335809128	N	-	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_129514_r000008	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000007	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000007	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	129514	129513	129514	-	-1.335853156	C	SLIV_00650	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_141497_r000009	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000008	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000008	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	141497	141496	141497	-	-0.701151689	A	SLIV_00715	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_142430_r000010	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000009	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000009	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	142430	142429	142430	+	2.470322492	P	SLIV_00720	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_152725_r000011	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000010	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000010	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	152725	152724	152725	-	-0.291000692	C	SLIV_00780	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
