source_id	pmid	article_license	redistribution_status	license_source	note
BATTER_S1_001	29606352	not_open_access_author_manuscript	external_link_only	https://europepmc.org/article/MED/29606352	Europe PMC reports isOpenAccess=N and no reusable article license. Author-specific supplementary fields are not recopied in v0.2.0.
BATTER_S1_002	38030608	CC BY	audit_only	https://europepmc.org/article/MED/38030608	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_003	29606352	not_open_access_author_manuscript	external_link_only	https://europepmc.org/article/MED/29606352	Europe PMC reports isOpenAccess=N and no reusable article license. Author-specific supplementary fields are not recopied in v0.2.0.
BATTER_S1_004	29606352	not_open_access_author_manuscript	external_link_only	https://europepmc.org/article/MED/29606352	Europe PMC reports isOpenAccess=N and no reusable article license. Author-specific supplementary fields are not recopied in v0.2.0.
BATTER_S1_005	29606352	not_open_access_author_manuscript	external_link_only	https://europepmc.org/article/MED/29606352	Europe PMC reports isOpenAccess=N and no reusable article license. Author-specific supplementary fields are not recopied in v0.2.0.
BATTER_S1_006	30517198	CC BY	verified_redistributable	https://europepmc.org/article/MED/30517198	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_007	31555254	CC BY	verified_redistributable	https://europepmc.org/article/MED/31555254	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_008	31594819	CC BY	verified_redistributable	https://europepmc.org/article/MED/31594819	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_009	32694125	CC BY	verified_redistributable	https://europepmc.org/article/MED/32694125	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_010	33319794	CC BY; endpoint workbook CC0	verified_redistributable	https://europepmc.org/article/MED/33319794	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_011	33319794	CC BY; endpoint workbook CC0	verified_redistributable	https://europepmc.org/article/MED/33319794	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_012	33319794	CC BY; endpoint workbook CC0	verified_redistributable	https://europepmc.org/article/MED/33319794	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_013	33319794	CC BY; endpoint workbook CC0	verified_redistributable	https://europepmc.org/article/MED/33319794	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_014	33319794	CC BY; endpoint workbook CC0	verified_redistributable	https://europepmc.org/article/MED/33319794	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_015	33319794	CC BY; endpoint workbook CC0	verified_redistributable	https://europepmc.org/article/MED/33319794	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_016	33319794	CC BY; endpoint workbook CC0	verified_redistributable	https://europepmc.org/article/MED/33319794	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_017	33947798	CC BY	verified_redistributable	https://europepmc.org/article/MED/33947798	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_018	34054774	CC BY	verified_redistributable	https://europepmc.org/article/MED/34054774	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_019	34874777	CC BY	verified_redistributable	https://europepmc.org/article/MED/34874777	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_020	35491820	CC BY	verified_redistributable	https://europepmc.org/article/MED/35491820	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_021	37402717	CC BY	verified_redistributable	https://europepmc.org/article/MED/37402717	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
BATTER_S1_022	37096044	CC BY	verified_redistributable	https://europepmc.org/article/MED/37096044	Europe PMC license metadata checked on 2026-08-10; this status governs the v0.2.0 source-specific table. Original repository terms still apply.
