end_id	source_record_id	source_end_id	author_tep_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	category	associated_gene	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_2296_r000002	TEP-001	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000001	TEP-001	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	2296	2295	2296	+	P	SGL_RS01885	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_2957_r000003	TEP-002	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000002	TEP-002	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	2957	2956	2957	-	P	SGL_RS01895	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_2985_r000004	TEP-003	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000003	TEP-003	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	2985	2984	2985	-	S	SGL_RS01895	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_4182_r000005	TEP-004	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000004	TEP-004	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	4182	4181	4182	-	I	SGL_RS01895	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_4241_r000006	TEP-005	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000005	TEP-005	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	4241	4240	4241	-	I	SGL_RS01895	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_8357_r000007	TEP-006	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000006	TEP-006	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	8357	8356	8357	+	S	SGL_RS01910	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_8379_r000008	TEP-007	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000007	TEP-007	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	8379	8378	8379	+	P	SGL_RS01910	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_42688_r000009	TEP-008	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000008	TEP-008	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	42688	42687	42688	-	I	SGL_RS02030	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_49776_r000010	TEP-009	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000009	TEP-009	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	49776	49775	49776	-	P	SGL_RS02070	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_58611_r000011	TEP-010	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000010	TEP-010	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	58611	58610	58611	-	I	SGL_RS02105	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_67233_r000012	TEP-011	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000011	TEP-011	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	67233	67232	67233	-	I	SGL_RS02145	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_81540_r000013	TEP-012	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000012	TEP-012	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	81540	81539	81540	-	P	SGL_RS02230	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_92616_r000014	TEP-013	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000013	TEP-013	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	92616	92615	92616	+	P	SGL_RS02275	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_95260_r000015	TEP-014	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000014	TEP-014	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	95260	95259	95260	+	P	SGL_RS02280	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
