locus_tag	tts_position	gff_matched	inferred_strand	confidence	note
CDIF630_00001	1457	是	+	高	locus tag直接命中 GFF gene/dnaA (1-1320, +链); Location TTS=3UTR
CDIF630_00002	2730	是	+	高	locus tag直接命中 GFF gene/dnaN (1562-2668, +链); Location TTS=3UTR
CDIF630_00006	8516	是	+	高	locus tag直接命中 GFF gene/gyrA (6066-8492, +链); Location TTS=3UTR
CDIF630_00011	10749	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00055 (9857-10630, +链); Location TTS=3UTR
CDIF630_00012	12344	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00060 (10814-12316, +链); Location TTS=3UTR
CDIF630_00013	15499	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00065 (12602-15499, +链); Location TTS=3UTR
CDIF630_00014	15818	是	+	高	locus tag直接命中 GFF gene/rrf (15701-15817, +链); Location TTS=3UTR
CDIF630_00015	15912	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00075 (15823-15911, +链); Location TTS=3UTR
CDIF630_00018	17743	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00090 (17667-17742, +链); Location TTS=3UTR
CDIF630_00019	21015	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00095 (18118-21015, +链); Location TTS=3UTR
CDIF630_00020	21260	是	+	高	locus tag直接命中 GFF gene/rrf (21143-21259, +链); Location TTS=3UTR
CP010905.2:22916..23121	23149	是	+	低	坐标定位到GFF特征 binding_site/ (22916-23121, +链), 非基因特征, 低置信
CDIF630_00024	24633	是	+	高	locus tag直接命中 GFF gene/serS (23247-24518, +链); Location TTS=3UTR
CDIF630_00026	25391	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00125 (25295-25386, +链); Location TTS=3UTR
CDIF630_00028	25694	是	+	高	locus tag直接命中 GFF gene/ffs (25424-25688, +链); Location TTS=3UTR
CDIF630_00032	28454	是	+	高	locus tag直接命中 GFF gene/recR (27824-28423, +链); Location TTS=3UTR
CDIF630_00033	28851	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00150 (28564-28785, +链); Location TTS=3UTR
CDIF630_00034	28802	是	-	高	locus tag直接命中 GFF gene/ugtA (28856-30061, -链); Location TTS=3UTR
CDIF630_00035	32093	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00160 (30564-32066, +链); Location TTS=3UTR
CDIF630_00036	35227	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00165 (32330-35227, +链); Location TTS=3UTR
CDIF630_00037	35526	是	+	高	locus tag直接命中 GFF gene/rrf (35409-35525, +链); Location TTS=3UTR
CDIF630_00038	35607	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00175 (35532-35606, +链); Location TTS=3UTR
CDIF630_00039	35706	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00180 (35613-35698, +链); Location TTS=3UTR
CDIF630_00040	35790	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00185 (35714-35789, +链); Location TTS=3UTR
CDIF630_00041	35872	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00190 (35797-35871, +链); Location TTS=3UTR
CDIF630_00042	35955	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00195 (35881-35954, +链); Location TTS=3UTR
CDIF630_00043	36036	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00200 (35960-36035, +链); Location TTS=3UTR
CDIF630_00044	36118	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00205 (36041-36117, +链); Location TTS=3UTR
CDIF630_00045	36206	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00210 (36127-36201, +链); Location TTS=3UTR
CDIF630_00046	36301	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00215 (36216-36300, +链); Location TTS=3UTR
CDIF630_00049	36588	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00230 (36507-36582, +链); Location TTS=3UTR
CDIF630_00050	36759	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00235 (36670-36758, +链); Location TTS=3UTR
