end_id	source_record_id	source_end_id	source_id	species	sample_id	assay	evidence_class	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	base_mean	log2_fold_change	fold_change	pvalue	padj	cluster_start_1based	cluster_end_1based	notes	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_4137_r000002	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000001	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000001	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	4137	4136	4137	+	1.95373125162568	-0.567328987269067	0.6748650810761205	0.319588642391042	NA	4137	4137		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_6749_r000003	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000002	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000002	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	6749	6748	6749	+	18.6390852560367	0.844788347284987	1.7960012414144453	0.0756273665190834	0.535010351001523	6748	6755		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_6941_r000004	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000003	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000003	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	6941	6940	6941	-	3.03927821900999	0.162448240314814	1.1191847738263034	0.785981500364768	NA	6941	6941		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_10378_r000005	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000004	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000004	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	10378	10377	10378	-	4.68486697241255	0.447973361472254	1.364122646912783	0.455792110900682	NA	10378	10378		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_21028_r000006	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000005	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000005	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	21028	21027	21028	-	22.4752027913783	0.392099576963559	1.3123018284957049	0.380767644716214	0.916747354022316	21027	21029		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_22769_r000007	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000006	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000006	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	22769	22768	22769	+	6.69494766386074	-0.0683874414277321	0.953703395355365	0.906028330733873	NA	22769	22770		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_37028_r000008	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000007	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000007	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	37028	37027	37028	-	1.83757890803156	0.529807300646521	1.443736344203967	0.338090248202686	NA	37028	37028		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_40876_r000009	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000008	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000008	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	40876	40875	40876	+	177.135582277869	-0.720226283276212	0.6070022278789589	0.0162446473384615	0.244091571581985	40873	40884		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_41124_r000010	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000009	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000009	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	41124	41123	41124	+	2.34566277998582	0.379513003392415	1.3009026481952781	0.513743189993612	NA	41124	41124		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_62810_r000011	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000010	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000010	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	62810	62809	62810	-	6.98511127992966	0.175082723079497	1.1290291406561273	0.766957809376212	NA	62810	62811		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_64643_r000012	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000011	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000011	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	64643	64642	64643	-	6.08440690417362	0.31976751484968	1.2481294011021675	0.587835351172533	NA	64643	64643		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_64792_r000013	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000012	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000012	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	64792	64791	64792	-	8.76657425227913	0.29058656323409	1.2231374733041238	0.609268542560444	NA	64791	64792		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_65719_r000014	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000013	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000013	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	65719	65718	65719	+	2.91154892754758	0.699749678757774	1.6242229502096643	0.238077743161448	NA	65719	65719		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_75471_r000015	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000014	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000014	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	75471	75470	75471	+	14.5219265603405	0.291149135512287	1.2236145231269766	0.562359331454438	0.970537244479678	75470	75471		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_81116_r000016	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000015	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000015	BATTER_S1_008	Pseudomonas aeruginosa PAO1	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_reproducible_termseq_3prime_site	NC_002516.2	81116	81115	81116	+	12.6435782652313	0.545543020941158	1.4595696132824745	0.296551006478996	0.871910651527989	81116	81119		31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1
