end_id	source_record_id	source_end_id	source_id	species	sample_id	assay	evidence_class	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	gene_upstream	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_10579_r000002	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000001	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000001	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	10579	10578	10579	+	rbsB	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_19834_r000003	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000002	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000002	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	19834	19833	19834	+	yihD	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_21459_r000004	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000003	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000003	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	21459	21458	21459	+	dsbA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_24673_r000005	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000004	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000004	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	24673	24672	24673	+	polA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_25014_r000006	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000005	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000005	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	25014	25013	25014	-	yihA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_30973_r000007	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000006	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000006	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	30973	30972	30973	-	glnA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_34758_r000008	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000007	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000007	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	34758	34757	34758	+	bipA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_36973_r000009	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000008	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000008	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	36973	36972	36973	+	yiiD	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_81398_r000010	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000009	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000009	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	81398	81397	81398	-	uspB	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_81428_r000011	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000010	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000010	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	81428	81427	81428	+	pitA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
