end_id	source_record_id	source_end_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	z_score	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_67368_r000002	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000001	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000001	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	67368	67367	67368	-	12.7790369534851	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_80859_r000003	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000002	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000002	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	80859	80858	80859	-	19.0345022987164	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_plus_92916_r000004	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000003	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000003	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	92916	92915	92916	+	15.2132870074353	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_129514_r000005	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000004	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000004	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	129514	129513	129514	-	16.9352992523658	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_plus_142430_r000006	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000005	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000005	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	142430	142429	142430	+	22.2357428727164	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_160656_r000007	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000006	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000006	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	160656	160655	160656	-	13.9449045862292	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_161342_r000008	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000007	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000007	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	161342	161341	161342	-	17.2674851456266	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_212435_r000009	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000008	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000008	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	212435	212434	212435	-	19.4961394247189	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_212544_r000010	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000009	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000009	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	212544	212543	212544	-	13.119295643876	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_212679_r000011	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000010	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000010	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	212679	212678	212679	-	13.3522363130806	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_213439_r000012	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000011	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000011	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	213439	213438	213439	-	20.1764351692706	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_236919_r000013	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000012	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000012	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	236919	236918	236919	-	18.5165832059848	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_plus_240301_r000014	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000013	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000013	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	240301	240300	240301	+	24.6459713920814	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_240434_r000015	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000014	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000014	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	240434	240433	240434	-	13.3208659558002	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_plus_287808_r000016	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000015	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000015	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	287808	287807	287808	+	26.9705548483606	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_365848_r000017	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000016	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000016	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	365848	365847	365848	-	23.74822014079	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_plus_373131_r000018	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000017	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000017	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	373131	373130	373131	+	34.7097223111734	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_plus_404215_r000019	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000018	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000018	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	404215	404214	404215	+	32.391781124795	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_419484_r000020	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000019	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000019	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	419484	419483	419484	-	149.99025651498	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_422037_r000021	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000020	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000020	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	422037	422036	422037	-	12.0187430507276	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_plus_613217_r000022	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000021	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_F_000021	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	613217	613216	613217	+	12.7106145589532	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_619952_r000023	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000022	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000022	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	619952	619951	619952	-	22.692235626738	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_013_LEE2020_TERMSEQ_PUBLISHED_TTS_CP009124-1_minus_634649_r000024	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000023	BATTER_S1_013_LEE2020_TERMSEQ_CP009124_1_R_000023	BATTER_S1_013	Streptomyces lividans TK24	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	CP009124	CP009124.1	634649	634648	634649	-	12.5104016344186	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
