end_id	source_record_id	site_id	source_id	species	assay	evidence_class	published_replicon	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	observed_log	log_average_read_count	observed_transition_stationary	transition_stationary_average_read_count	log_classification	transition_stationary_classification	terminator_score_log	terminator_score_transition_stationary	metadata_conflict_between_conditions	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000948-1_plus_16455_r000002	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_F_16455	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_F_16455	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-1	NC_000948.1	16455	16454	16455	+	0		1	2865.626667		primary,		undefined	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000948-1_minus_16504_r000003	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_R_16504	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_R_16504	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-1	NC_000948.1	16504	16503	16504	-	0		1	925.2473333		primary,		4.02123771308984	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000948-1_minus_18857_r000004	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_R_18857	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_R_18857	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-1	NC_000948.1	18857	18856	18857	-	1	433843.0	1	294245.3333	primary,	primary,	1.28968790363784	1.28968790363784	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000948-1_plus_19200_r000005	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_F_19200	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_F_19200	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-1	NC_000948.1	19200	19199	19200	+	0		1	713.7476667		internal,		2.57406605207419	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000948-1_plus_19202_r000006	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_F_19202	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_F_19202	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-1	NC_000948.1	19202	19201	19202	+	1	7146.8	0		internal,		2.57406605207419		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000948-1_plus_24736_r000007	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_F_24736	BATTER_S1_021_ADAMS2023_SITE_NC_000948_1_F_24736	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-1	NC_000948.1	24736	24735	24736	+	0		1	664.494		internal,		1.20379642508104	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000949-1_plus_18277_r000008	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_18277	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_18277	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-3	NC_000949.1	18277	18276	18277	+	0		1	5989.633333		primary, antisense,		10.6045591477534	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000949-1_plus_18281_r000009	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_18281	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_18281	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-3	NC_000949.1	18281	18280	18281	+	1	2613.823333	0		primary, antisense,		10.6045591477534		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000949-1_minus_19351_r000010	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_R_19351	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_R_19351	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-3	NC_000949.1	19351	19350	19351	-	1	1406750.0	1	1341619.667	primary,	primary,	1.06811191721825	1.06811191721825	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000949-1_plus_19618_r000011	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_19618	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_19618	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-3	NC_000949.1	19618	19617	19618	+	0		1	1113.432		internal,		1.08833052083457	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
