source_id	release_status	public_asset	record_count	evidence_class	reference_genome	pmid	coordinate_status	decision_note
BATTER_S1_001	published_standardized	data/public/records/BATTER_S1_001/curated_records.tsv	607	curated_record	GCF_000005845.1	29606352	verified	Literature-curated experimental/sequence-supported intrinsic-terminator record; not a new local terminator call.
BATTER_S1_002	audit_only	NA	0	NA	GCF_000005845.2	38030608	verified	No public endpoint table is emitted in this release. The local derived assets are described in an exclusion manifest until their evidence/provenance can be reconciled to the public schema.
BATTER_S1_003	published_standardized	data/public/records/BATTER_S1_003/curated_records.tsv	1414	curated_record	GCF_000009045.1	29606352	verified	Literature-curated experimental/sequence-supported intrinsic-terminator record; local candidate peaks remain a separate signal layer.
BATTER_S1_004	published_standardized	data/public/records/BATTER_S1_004/curated_records.tsv	337	curated_record	GCF_000022005.1	29606352	verified_with_metadata_conflict	Literature-curated record; the retained GEO metadata conflict is documented in the source processing record.
BATTER_S1_005	published_standardized	data/public/records/BATTER_S1_005/curated_records.tsv	1154	curated_record	GCF_001456255.1	29606352	verified	Literature-curated record on the two-contig reference; manual review status remains documented in the source manifest.
BATTER_S1_006	published_standardized	data/public/records/BATTER_S1_006/endpoints.tsv	1864	author_called_endpoint	GCF_000006885.1	30517198	verified	Author-called Term-seq TTS; author threshold and locus relationships are retained in the processing record.
BATTER_S1_007	published_standardized	data/public/records/BATTER_S1_007/endpoints.tsv	1640	author_called_endpoint	GCF_000739105.1	31555254	verified	Author-called transcript 3′ end position (TEP); this is not a per-site terminator-function claim.
BATTER_S1_008	published_standardized	data/public/records/BATTER_S1_008/endpoints.tsv	1965	author_called_endpoint	GCF_000006765.1	31594819	verified_with_count_conflict	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BATTER_S1_009	published_standardized	data/public/records/BATTER_S1_009/endpoints.tsv	2091	author_called_endpoint	GCF_003054575.1	32694125	verified_with_count_conflict	Author-published Term-seq TTS after processing-site filtering; pure TransTermHP predictions are excluded.
BATTER_S1_010	published_standardized	data/public/records/BATTER_S1_010/endpoints.tsv	1159	author_called_endpoint	GCF_000009765.2	33319794	verified	Author-published Term-seq endpoint.
BATTER_S1_011	published_standardized	data/public/records/BATTER_S1_011/endpoints.tsv	2024	author_called_endpoint	GCF_000010605.1	33319794	verified	Author-published Term-seq endpoint.
BATTER_S1_012	published_standardized	data/public/records/BATTER_S1_012/endpoints.tsv	1308	author_called_endpoint	GCF_000203835.1	33319794	verified	Author-published Term-seq endpoint.
BATTER_S1_013	published_standardized	data/public/records/BATTER_S1_013/endpoints.tsv	1208	author_called_endpoint	GCF_000739105.1	33319794	verified	Author-published Term-seq endpoint; independent from BATTER_S1_007 despite shared organism/reference.
BATTER_S1_014	published_standardized	data/public/records/BATTER_S1_014/endpoints.tsv	1283	author_called_endpoint	GCF_003932715.1	33319794	verified	Author-published Term-seq endpoint.
BATTER_S1_015	published_standardized	data/public/records/BATTER_S1_015/endpoints.tsv	1140	author_called_endpoint	GCF_005519465.1	33319794	verified	Author-published Term-seq endpoint; chromosome and plasmid are retained as separate contigs.
BATTER_S1_016	published_standardized	data/public/records/BATTER_S1_016/endpoints.tsv	870	author_called_endpoint	GCF_015710995.1	33319794	verified_with_taxonomy_conflict	Author-published Term-seq endpoint; taxonomy label conflict is retained in the source record.
BATTER_S1_017	published_standardized	data/public/records/BATTER_S1_017/endpoints.tsv	1427	author_called_endpoint	GCF_005519465.1	33947798	verified	Author-called Term-seq TEP; independent from BATTER_S1_015 despite shared strain/reference.
BATTER_S1_018	published_standardized	data/public/records/BATTER_S1_018/endpoints.tsv	487	author_called_endpoint	GCF_018282115.1	34054774	verified	Author-called Term-seq TEP; all four published replicons are preserved.
BATTER_S1_019	published_standardized	data/public/records/BATTER_S1_019/endpoints.tsv	784	author_called_endpoint	GCF_000009725.1	34874777	verified	Author-called manually curated Term-seq TEP.
BATTER_S1_020	published_standardized	data/public/records/BATTER_S1_020/endpoints.tsv	1165	author_called_endpoint	GCF_000147055.1	35491820	verified	Author-called Nanopore native RNA 3′ end. The mixed-evidence S1C table is excluded from this public asset.
BATTER_S1_021	published_standardized	data/public/records/BATTER_S1_021/endpoints.tsv	1905	author_called_endpoint	GCF_000008685.2	37402717	verified	Unique author-reported 3′ RNA-seq sites. Condition-level observations are intentionally not duplicated in the public endpoint table.
BATTER_S1_022	published_standardized	data/public/records/BATTER_S1_022/endpoints.tsv	2567	author_called_endpoint	GCF_000195955.2	37096044	verified	Author-called Term-seq TTS. Prediction-support columns are retained only as author annotations; prediction-only RUT records are excluded.
